sample_size,custom_corr_value,custom_corr_time,statistics_corr_value,statistics_corr_time
400,1.0,0.015355913,1.0,0.005779277
500,1.0,0.017708767,1.0,0.007020801
600,1.0,0.016659488,1.0,0.006346314
700,1.0,0.034594245,1.0,0.007226793
800,1.0,0.025852003,1.0,0.008452491
900,1.0,0.028113956,1.0,0.010672833
1000,1.0,0.033090912,1.0,0.011186032
100,1.0,0.003564821,1.0,0.002510574
200,1.0,0.004985135,1.0,0.002035638
300,1.0,0.007621585,1.0,0.002804093
400,1.0,0.010409862,1.0,0.003562201
500,1.0,0.025907814,1.0,0.005756497
600,1.0,0.020508589,1.0,0.007850518
700,1.0,0.023222254,1.0,0.008068457
800,1.0,0.025005,1.0,0.009053521
900,1.0,0.031001514,1.0,0.010723493
1000,1.0,0.032539717,1.0,0.011172475
100,1.0,0.003582578,1.0,0.001489162
200,1.0,0.007136119,1.0,0.003866596
300,1.0,0.010898784,1.0,0.004906338
400,1.0,0.015095013,1.0,0.006147421
500,1.0,0.016812703,1.0,0.005311574
600,1.0,0.019047407,1.0,0.006886092
700,1.0,0.023170926,1.0,0.00727863
800,1.0,0.025747048,1.0,0.008111255
900,1.0,0.030358044,1.0,0.01026253
1000,1.0,0.034630866,1.0,0.010972286
100,1.0,0.003435678,1.0,0.00123708
200,1.0,0.005130869,1.0,0.002032688
300,1.0,0.008690284,1.0,0.003303051
400,1.0,0.010109644,1.0,0.003653527
500,1.0,0.013423331,1.0,0.007274896
600,1.0,0.019507947,1.0,0.00637079
700,1.0,0.023099927,1.0,0.008675009
800,1.0,0.02554146,1.0,0.008241843
900,1.0,0.03809554,1.0,0.01031264
1000,1.0,0.033876458,1.0,0.010896428
100,1.0,0.003659587,1.0,0.001649144
200,1.0,0.008805163,1.0,0.002555162
300,1.0,0.016666602,1.0,0.003791912
400,1.0,0.013335199,1.0,0.006089272
500,1.0,0.020744057,1.0,0.006022162
600,1.0,0.019836423,1.0,0.006990545
700,1.0,0.034139315,1.0,0.008107463
800,1.0,0.026777311,1.0,0.008470912
900,1.0,0.030294638,1.0,0.010298017
1000,1.0,0.032924495,1.0,0.011146677
100,1.0,0.003610239,1.0,0.0012121
200,1.0,0.005053855,1.0,0.002578867
300,1.0,0.009967004,1.0,0.00366708
400,1.0,0.0132513,1.0,0.004623822
500,1.0,0.02662569,1.0,0.005615254
600,1.0,0.018762889,1.0,0.00706448
700,1.0,0.020502936,1.0,0.00712361
800,1.0,0.025481491,1.0,0.008153958
900,1.0,0.030718192,1.0,0.010342026
1000,1.0,0.03325295,1.0,0.012329462
